seen_at,filing_date,transaction_date,ticker,issuer,insider_name,insider_role,officer_title,transaction_code,acquired_disposed,shares,price,dollar_value,severity,cluster_count,reasons,sector,industry,market_cap,price_now,price_now_date,accession,pdf_url,uid
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Nicholson Nur,Other C-suite,Chief Technical Officer,D,D,45220.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224604,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224604/,0001193125-26-224604|0001827317|2026-05-14|D|45220.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Nicholson Nur,Other C-suite,Chief Technical Officer,D,D,24284.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224604,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224604/,0001193125-26-224604|0001827317|2026-05-14|D|24284.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Nicholson Nur,Other C-suite,Chief Technical Officer,D,D,5645.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224604,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224604/,0001193125-26-224604|0001827317|2026-05-14|D|5645.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Nicholson Nur,Other C-suite,Chief Technical Officer,D,D,9754.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224604,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224604/,0001193125-26-224604|0001827317|2026-05-14|D|9754.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Nicholson Nur,Other C-suite,Chief Technical Officer,D,D,27320.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224604,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224604/,0001193125-26-224604|0001827317|2026-05-14|D|27320.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Deschatelets Pascal,Other C-suite,Chief Scientific Officer,D,D,10030.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224609,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224609/,0001193125-26-224609|0001657720|2026-05-14|D|10030.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Deschatelets Pascal,Other C-suite,Chief Scientific Officer,D,D,12920.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224609,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224609/,0001193125-26-224609|0001657720|2026-05-14|D|12920.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Deschatelets Pascal,Other C-suite,Chief Scientific Officer,D,D,25840.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224609,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224609/,0001193125-26-224609|0001657720|2026-05-14|D|25840.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Deschatelets Pascal,Other C-suite,Chief Scientific Officer,D,D,3372.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224609,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224609/,0001193125-26-224609|0001657720|2026-05-14|D|3372.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Deschatelets Pascal,Other C-suite,Chief Scientific Officer,D,D,11284.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224609,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224609/,0001193125-26-224609|0001657720|2026-05-14|D|11284.0|None
